id,naam,type,stadsdeel,beheerder,adres,lat,lng,telefoon,heeft_25m_bad,heeft_50m_bad,bad_afmetingen,watertemperatuur_celsius,watertemperatuur_opmerking,entreeprijs_eur,entreprijs_opmerking,stadspas_prijs_eur,bijzonderheden,website,rooster_url,scrape_url,scrape_methode
zuiderbad,Het Zuiderbad,binnenbad,Zuid,Gemeente Amsterdam (Sportbedrijf Amsterdam),"Hobbemastraat 26, 1071 ZC Amsterdam",52.358625,4.885819,020 252 1390,true,false,"23m diep + 8m ondiep, 15m breed (totaal ~25m)",,Niet gepubliceerd,6.4,,1.0,Rijksmonument uit 1897. Historisch interieur met authentieke kleedhokjes. Whirlpool en zonnebanken. Naaktzwemmen op zondag. Reserveren via webshop.,https://www.amsterdam.nl/zuiderbad/,https://www.amsterdam.nl/zuiderbad/activiteiten/banenzwemmen/,https://www.amsterdam.nl/zuiderbad/activiteiten/banenzwemmen/,webshop
het_marnix,Het Marnix (Marnixbad),binnenbad,Centrum,Stichting SpACe (Sportbedrijf Amsterdam Centrum),"Marnixplein 1, 1015 ZN Amsterdam",52.3722,4.8785,020 524 6000,true,false,"Wedstrijdbad 25x12.5m; instructiebad 20x10m (30°C, beweegbare bodem)",30.0,30°C betreft instructiebad; wedstrijdbad niet gepubliceerd,6.4,Alleen pin,1.0,Modern gebouw (2006). Uitzicht op Singelgracht. Zoutdesinfectie (minder chloor). Dakterrassauna.,https://hetmarnix.nl/,https://hetmarnix.nl/schedule/tijden/,https://hetmarnix.nl/schedule/tijden/,html
sportfondsenbad_oost,Sportfondsenbad Amsterdam-Oost,binnenbad,Oost,Koninklijke Sportfondsen Nederland B.V.,"Land van Cocagneplein 44, 1093 NB Amsterdam",52.356763,4.928546,020 665 0811,true,false,Wedstrijdbad 25x15m; instructiebad; recreatiebad; peuterbad,28.0,28°C wedstrijdbad; 31°C instructiebad,6.2,,1.0,"Oudste Sportfondsenbad van NL (1929). Nostalgische uitstraling. Turks stoombad, Finse sauna, whirlpool.",https://www.sportfondsenbadamsterdamoost.nl/,https://amsterdamoost.sportfondsen.nl/,https://amsterdamoost.sportfondsen.nl/,html
bijlmer_sportcentrum,Bijlmer Sportcentrum,binnenbad,Zuidoost,Optisport,"Anton de Komplein 157, 1102 DR Amsterdam",52.3142,4.9516,020 697 3220,true,false,Wedstrijdbad 25x16m (6 banen); doelgroepenbad 10x17m; kreek 20x10m; peuterbad,28.0,28°C wedstrijdbad; 31°C doelgroepenbad/kreek/peuterbad,6.2,,1.0,"Modern complex. Glijbaan, whirlpool, stoombad. Sporthal en fitness. Zed & Sop zwemles.",https://www.optisport.nl/zwembad-bijlmer-amsterdam-zuidoost,https://www.optisport.nl/activiteiten/banenzwemmen/zwembad-bijlmer-amsterdam-zuid-oost,https://www.optisport.nl/activiteiten/banenzwemmen/zwembad-bijlmer-amsterdam-zuid-oost,html
de_werf,Zwembad De Werf,leszwembad,Noord,Cordaan (zorginstelling),"Klinkerweg 79, 1033 PK Amsterdam",52.3908,4.9132,,false,false,"12x6m (verstelbare bodem, 2 delen)",33.0,,,Geen publieke toegang; alleen leszwemmen en begeleid zwemmen,,Klein therapeutisch/lesbad onderdeel van zorginstelling Cordaan. Uitsluitend leszwemmen en begeleid zwemmen.,https://www.oerbron.nl/zwemmen/de-zwembaden/de-werf,,,
de_mirandabad,De Mirandabad,combibad,Zuid,Gemeente Amsterdam (Sportbedrijf Amsterdam),"De Mirandalaan 9, 1079 PA Amsterdam",52.3378,4.8937,020 252 4444,true,true,Binnen: 25m wedstrijdbad + golfslagbad. Buiten (zomer): 50m bad,,Golfslagbad subtropisch verwarmd; exacte temp niet gepubliceerd,6.4,,1.0,"Subtropisch golfslagbad met glazen koepel en palmbomen. Wellness: stoomcabines, infraroodcabine, kruidenbaden. Squashbanen. Discozwemmen. Renovatie gepland.",https://www.amsterdam.nl/demirandabad/,https://www.amsterdam.nl/demirandabad/activiteiten/banenzwemmen/,https://www.amsterdam.nl/demirandabad/activiteiten/banenzwemmen/,webshop
sloterparkbad,Het Sloterparkbad,combibad,Nieuw-West,Optisport,"President Allendelaan 3, 1064 GW Amsterdam",52.36813,4.819054,020 506 3506,true,true,"Binnen: 50x20m (8 banen, keerwand maakt 2x25m). Buiten (zomer): 25m. Springbassin 20x15m (5m diep).",27.0,27°C wedstrijdbad,6.2,,1.0,Een van de grootste zwemaccommodaties van NL. Springbassin met 3/5/7/10m platforms. Recreatiebad met 55m glijbaan. Tribune 500 plaatsen. Regelmatig (inter)nationale wedstrijden.,https://www.optisport.nl/het-sloterparkbad-amsterdam,https://www.optisport.nl/activiteiten/banenzwemmen/zwembad-het-sloterparkbad-amsterdam,https://www.optisport.nl/activiteiten/banenzwemmen/zwembad-het-sloterparkbad-amsterdam,html
sportplaza_mercator,SportPlaza Mercator,combibad,West,Koninklijke Sportfondsen Nederland B.V.,"Jan van Galenstraat 315, 1056 CB Amsterdam",52.371784,4.846,020 618 8911,true,true,Binnen: wedstrijdbad + doelgroepenbad + therapeutisch bad + kinderspeelbad. Buiten (zomer): 50m bassin.,,Niet gepubliceerd,6.2,,1.0,Groene gevel ontworpen door VenhoevenCS. Kinderspeelbad met krokodil. Fitness en wellness. Programma's voor mensen met beperking.,https://mercator.sportfondsen.nl/,https://mercator.sportfondsen.nl/,https://mercator.sportfondsen.nl/,html
noorderparkbad,Noorderparkbad,combibad,Noord,Gemeente Amsterdam (Sportbedrijf Amsterdam),"Sneeuwbalweg 5, 1032 VS Amsterdam",52.3907,4.9302,020 435 2120,true,false,Binnen: 25m. Buiten (zomer): 25m + ondiep bad + peuterbaden.,,Buitenbad zomer ~18-21°C (zonnecollectoren); binnenbad temp niet gepubliceerd,6.2,,1.0,"Mooiste publieke zwembad ter wereld (Piscine Global Lyon). Duurzaamste zwembad van NL (-75% energie). Amsterdamse Architectuurprijs 2016. Glijbaan, spraypark, Grand Café.",https://www.amsterdam.nl/noorderparkbad,https://www.amsterdam.nl/noorderparkbad/rooster/,https://www.amsterdam.nl/noorderparkbad/rooster/,webshop
brediusbad,Brediusbad,buitenbad,West,Gemeente Amsterdam (Sportbedrijf Amsterdam),"Spaarndammerdijk 306, 1013 ZX Amsterdam",52.3915,4.8756,020 684 6984,true,false,33x25m (diep bassin) + ondiep kinderbad + peuterbad met spuitfontein,,Verwarmd; exacte temperatuur niet gepubliceerd,3.85,Seizoen mei-september,1.0,Verwarmd openluchtzwembad in rustige groene omgeving aan rand Spaarndammerbuurt. Rookvrij. Keurmerk Veilig & Schoon. Seizoen ca. mei t/m september.,https://www.amsterdam.nl/brediusbad/,https://www.amsterdam.nl/brediusbad/,https://www.amsterdam.nl/brediusbad/,webshop
